epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,22.5672,1.8922,4.50826,2.83456,1.96017,0,0.02692,0.86777,0.15404,0.05663,0.01936,0.62397,0.03049,0.00768,1.87371,6.17925,2.99189,1.87787,0,0.000641975,0.000641975,0.000641975
2,29.5025,1.82332,4.05934,2.44656,1.84217,0,0.02744,0.8843,0.1594,0.05148,0.01321,0.42562,0.02762,0.00632,2.11072,8.68076,2.9303,2.09457,0,0.00129785,0.00129785,0.00129785
3,35.9949,1.8694,4.13448,2.30369,1.85433,0,0.2542,0.18595,0.18825,0.08548,0.11076,0.08264,0.03448,0.00804,1.89372,9.43346,2.57006,1.83177,0,0.00194272,0.00194272,0.00194272
4,41.2019,1.83348,3.95027,2.23171,1.84836,0,0.33157,0.40909,0.27873,0.11816,0.22426,0.21074,0.07923,0.02706,1.8596,9.21205,2.32228,1.87813,0,0.0019505,0.0019505,0.0019505
5,47.1668,1.85312,3.92373,2.16861,1.8631,0,0.33184,0.3843,0.24584,0.09924,0.09871,0.08264,0.01254,0.00261,1.8714,10.7455,2.40805,1.85709,0,0.001934,0.001934,0.001934
6,53.0178,1.81351,3.85898,2.16084,1.84878,0,0.34779,0.34298,0.23374,0.0832,0.23634,0.21488,0.10067,0.03262,1.86462,7.44851,2.33527,1.82668,0,0.0019175,0.0019175,0.0019175
7,58.5625,1.76557,3.89901,2.12979,1.83247,0,0.28925,0.38843,0.20967,0.08564,0.25598,0.30992,0.14701,0.0466,1.77939,4.42576,2.37003,1.78354,0,0.001901,0.001901,0.001901
8,64.4454,1.73648,3.91095,2.08443,1.80303,0,0.36115,0.3504,0.2615,0.10253,0.27308,0.29752,0.1478,0.05252,1.85579,4.97435,2.20001,1.82057,0,0.0018845,0.0018845,0.0018845
9,70.7229,1.70806,3.72914,2.00419,1.76291,0,0.39713,0.53897,0.37161,0.15617,0.25391,0.27686,0.13088,0.04428,1.76537,5.65754,2.39999,1.74294,0,0.001868,0.001868,0.001868
10,76.0001,1.67621,3.7831,1.97077,1.75258,0,0.38198,0.54657,0.40781,0.16775,0.37948,0.54545,0.3547,0.14012,1.73048,4.21825,2.01464,1.74041,0,0.0018515,0.0018515,0.0018515
