epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/l1_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/l1_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,29.5651,1.75553,4.2967,3.26012,0.02388,6.31632,0.33412,0.22935,0.19663,0.06661,0.34372,0.22161,0.17792,0.05722,1.8955,3.8447,2.85284,0.02459,0,0.000655367,0.000655367,0.000655367
2,48.9151,1.73015,3.8283,2.5452,0.0227,3.52358,0.01046,0.05817,0.00157,0.00026,0,0,0,0,4.41644,121.554,5.1255,0.06829,0,0.0013168,0.0013168,0.0013168
3,68.108,1.82607,3.73794,2.34841,0.02448,3.20233,0.29001,0.241,0.16492,0.0604,0.32776,0.24377,0.17042,0.05761,1.94639,5.18622,3.05687,0.02523,0,0.00197295,0.00197295,0.00197295
4,88.2887,1.87026,3.72848,2.27695,0.02523,3.11425,0.38462,0.32687,0.27322,0.10187,0.35591,0.31856,0.23425,0.08012,2.09134,4.78117,2.64642,0.0297,0,0.00197624,0.00197624,0.00197624
5,107.423,1.89378,3.77277,2.22871,0.02555,3.17052,0.55355,0.49861,0.48472,0.2019,0.5317,0.48121,0.40143,0.18417,1.92659,3.9935,1.88547,0.02589,0,0.00196832,0.00196832,0.00196832
6,127.351,1.84833,3.59334,2.18065,0.02661,3.01385,0.35905,0.39889,0.30936,0.13346,0.29824,0.32687,0.22982,0.08875,1.85858,5.01639,2.33567,0.02352,0,0.0019604,0.0019604,0.0019604
7,147.429,1.85989,3.58003,2.15814,0.02553,2.90456,0.45334,0.41828,0.36763,0.16104,0.42609,0.38664,0.32936,0.14552,1.93483,3.87213,2.20524,0.0251,0,0.00195248,0.00195248,0.00195248
8,166.118,1.83645,3.48356,2.11765,0.02504,2.73462,0.42673,0.4626,0.35399,0.14576,0.40619,0.41551,0.32058,0.1181,1.96919,4.23046,2.43457,0.02598,0,0.00194456,0.00194456,0.00194456
9,185.434,1.79107,3.34369,1.98373,0.02451,2.58488,0.47305,0.45429,0.43561,0.20291,0.45629,0.40166,0.39009,0.17506,1.84571,4.16196,2.1199,0.02458,0,0.00193664,0.00193664,0.00193664
10,203.877,1.74017,3.29494,1.93109,0.02373,2.48465,0.46396,0.46814,0.4331,0.19404,0.39589,0.38848,0.31712,0.13313,1.87459,4.12558,2.13066,0.0242,0,0.00192872,0.00192872,0.00192872
11,222.947,1.73911,3.22353,1.89805,0.02357,2.56604,0.52173,0.4714,0.46144,0.22112,0.53187,0.41858,0.41196,0.19369,1.83624,3.86345,2.04145,0.02355,0,0.0019208,0.0019208,0.0019208
12,241.16,1.71776,3.23286,1.87181,0.02336,2.47897,0.40362,0.37119,0.33423,0.13304,0.34189,0.30194,0.25771,0.0918,1.78875,4.40978,2.41873,0.02333,0,0.00191288,0.00191288,0.00191288
13,260.187,1.69053,3.17332,1.83974,0.02227,2.3582,0.34592,0.43363,0.34401,0.11265,0.34176,0.41828,0.34041,0.12019,2.18669,3.56303,2.37824,0.03022,0,0.00190496,0.00190496,0.00190496
14,279.063,1.6877,3.1468,1.78339,0.02257,2.39711,0.44331,0.45429,0.42219,0.17905,0.42731,0.42659,0.38064,0.15343,2.03812,3.38395,2.05208,0.026,0,0.00189704,0.00189704,0.00189704
15,297.232,1.69255,3.12932,1.77668,0.02225,2.33811,0.26173,0.14404,0.12016,0.04577,0.18284,0.10249,0.05589,0.01758,2.03086,5.26942,2.96388,0.02679,0,0.00188912,0.00188912,0.00188912
